Spectrum,Element,Known conc,Analytical Platform,Standard,Raw total,Raw conc,raw -C RDEV %,Normalized conc,norm-C RDEV %,Atomic conc stoich,Atomic conc,atom-C RDEV %
Au20Cu80_5kV10nA500s_NB,Cu,0.7985,JEOL8500f-BrukerQuad,Cu,1.0066,0.8120,1.7,0.8067,1.0,0.9248,0.9282,0.37
Au20Cu80_5kV10nA500s_NB,Au,0.2012,JEOL8500f-BrukerQuad,Au,1.0066,0.1946,-3.3,0.1933,-3.9,0.0752,0.0718,-4.5
Au40Cu60_5kV10nA500s_NB,Cu,0.5992,JEOL8500f-BrukerQuad,Cu,1.0078,0.6160,2.8,0.6112,2.0,0.8224,0.8297,0.89
Au40Cu60_5kV10nA500s_NB,Au,0.4010,JEOL8500f-BrukerQuad,Au,1.0078,0.3918,-2.3,0.3888,-3.0,0.1776,0.1703,-4.1
Au60Cu40_5kV10nA500s_NB,Cu,0.3964,JEOL8500f-BrukerQuad,Cu,0.9975,0.4128,4.2,0.4138,4.4,0.6706,0.6863,2.3
Au60Cu40_5kV10nA500s_NB,Au,0.6036,JEOL8500f-BrukerQuad,Au,0.9975,0.5848,-3.1,0.5862,-2.9,0.3294,0.3137,-4.8
Au80Cu20_5kV10nA500s_NB,Cu,0.1983,JEOL8500f-BrukerQuad,Cu,0.9868,0.2086,5.2,0.2114,6.6,0.4340,0.4538,4.6
Au80Cu20_5kV10nA500s_NB,Au,0.8015,JEOL8500f-BrukerQuad,Au,0.9868,0.7782,-2.9,0.7886,-1.6,0.5660,0.5462,-3.5
Au20Ag80_5kV20nA100s,Ag,0.7758,JEOL8500f-BrukerQuad,Ag,1.013,0.7841,1.1,0.7738,-0.26,0.8633,0.8620,-0.16
Au20Ag80_5kV20nA100s,Au,0.2243,JEOL8500f-BrukerQuad,Au,1.013,0.2292,2.2,0.2262,0.86,0.1367,0.1380,0.98
Au40Ag60_5kV20nA100s,Ag,0.5993,JEOL8500f-BrukerQuad,Ag,1.002,0.6084,1.5,0.6073,1.3,0.7322,0.7385,0.86
Au40Ag60_5kV20nA100s,Au,0.4003,JEOL8500f-BrukerQuad,Au,1.002,0.3934,-1.7,0.3927,-1.9,0.2678,0.2615,-2.3
Au60Ag40_5kV20nA100s,Ag,0.3992,JEOL8500f-BrukerQuad,Ag,0.9991,0.4057,1.6,0.4061,1.7,0.5483,0.5552,1.3
Au60Ag40_5kV20nA100s,Au,0.6005,JEOL8500f-BrukerQuad,Au,0.9991,0.5934,-1.2,0.5939,-1.1,0.4517,0.4448,-1.5
Au80Ag20_5kV20nA100s,Ag,0.1996,JEOL8500f-BrukerQuad,Ag,1.005,0.2040,2.2,0.2030,1.7,0.3129,0.3175,1.5
Au80Ag20_5kV20nA100s,Au,0.8005,JEOL8500f-BrukerQuad,Au,1.005,0.8006,0.01,0.7970,-0.44,0.6871,0.6825,-0.67
As2Te3_5kV20nA700s_NB,As,0.2813,JEOL8500f-BrukerQuad,As,1.114,0.3144,11.8,0.2821,0.28,0.4000,0.4009,0.23
As2Te3_5kV20nA700s_NB,Te,0.7187,JEOL8500f-BrukerQuad,Te,1.114,0.8000,11.3,0.7179,-0.11,0.6000,0.5991,-0.15
Bi2Se3_5kV20nA700s_NB,Se,0.3617,JEOL8500f-BrukerQuad,Se,1.009,0.3644,0.75,0.3610,-0.19,0.6000,0.5993,-0.12
Bi2Se3_5kV20nA700s_NB,Bi,0.6383,JEOL8500f-BrukerQuad,Bi,1.009,0.6449,1.0,0.6390,0.11,0.4000,0.4007,0.18
CdSe_5kV20nA700s_NB,Se,0.4126,JEOL8500f-BrukerQuad,Se,1.043,0.4167,0.99,0.3995,-3.2,0.5000,0.4864,-2.7
CdSe_5kV20nA700s_NB,Cd,0.5874,JEOL8500f-BrukerQuad,Cd,1.043,0.5874,6.7,0.6005,3.0,0.5000,0.5136,2.7
GaAs_Dale_5kV20nA130kHz5eV_700s,Ga,0.4820,JEOL8500f-BrukerQuad,GaP,1.063,0.5055,4.9,0.4754,-1.4,0.5000,0.4933,-1.3
GaAs_Dale_5kV20nA130kHz5eV_700s,As,0.5180,JEOL8500f-BrukerQuad,As,1.063,0.5579,7.7,0.5246,1.3,0.5000,0.5067,1.3
GaP_StdC_5keV20nA130kHz5eV_700s,P,0.3076,JEOL8500f-BrukerQuad,Ca5(PO4)3F,0.9549,0.2876,-6.5,0.3012,-2.1,0.5000,0.4924,-1.5
GaP_StdC_5keV20nA130kHz5eV_700s,Ga,0.6924,JEOL8500f-BrukerQuad,GaAS,0.9549,0.6673,-3.6,0.6988,0.92,0.5000,0.5076,1.5
GaSb_Dale_5keV20nA130kHz5eV_700s,Ga,0.3651,JEOL8500f-BrukerQuad,GaP,1.0255,0.3682,1.1,0.3590,-1.4,0.5000,0.4945,-1.1
GaSb_Dale_5keV20nA130kHz5eV_700s,Sb,0.6359,JEOL8500f-BrukerQuad,Sb,1.0255,0.6573,3.4,0.6410,0.80,0.5000,0.5055,1.1
GeO2_GLR496_5keV20nA_400s,O,0.3058,JEOL8500f-BrukerQuad,SiO2,0.9395,0.2815,-7.9,0.2996,-2.0,0.6667,0.6601,-1.0
GeO2_GLR496_5keV20nA_400s,Ge,0.6942,JEOL8500f-BrukerQuad,Ge,0.9395,0.6581,-5.2,0.7004,0.89,0.3333,0.3399,2.0
GeTe_5kV20nA700s_NB,Ge,0.3628,JEOL8500f-BrukerQuad,Ge,0.9312,0.3380,-6.8,0.3629,0.03,0.5000,0.5002,0.04
GeTe_5kV20nA700s_NB,Te,0.6372,JEOL8500f-BrukerQuad,Te,0.9312,0.5933,-6.9,0.6371,-0.02,0.5000,0.4998,-0.04
NiO_GLR496_5keV20nA_300s,O,0.2142,JEOL8500f-BrukerQuad,MgO,1.0128,0.2139,-0.14,0.2112,-1.4,0.5000,0.4954,-0.92
NiO_GLR496_5keV20nA_300s,Ni,0.7858,JEOL8500f-BrukerQuad,Ni,1.0128,0.7989,1.7,0.7888,0.38,0.5000,0.5046,0.92
PbSe_5kV20nA_700s,Se,0.2759,JEOL8500f-BrukerQuad,Se,0.9944,0.276,0.04,0.2775,0.58,0.5000,0.5020,0.4
PbSe_5kV20nA_700s,Pb,0.7241,JEOL8500f-BrukerQuad,PbTe,0.9944,0.7184,-0.79,0.7225,-0.4,0.5000,0.4980,-0.4
PbTe_5kV20nA_700s,Te,0.3811,JEOL8500f-BrukerQuad,Te,0.9923,0.3691,-3.1,0.3720,-2.4,0.5000,0.4903,-1.9
PbTe_5kV20nA_700s,Pb,0.6189,JEOL8500f-BrukerQuad,PbSe,0.9923,0.6232,0.69,0.6280,1.5,0.5000,0.5097,1.9
SnSe_5kV20nA700s_NB,Se,0.3995,JEOL8500f-BrukerQuad,Se,0.9991,0.4055,1.5,0.4059,1.6,0.5000,0.5067,1.3
SnSe_5kV20nA700s_NB,Sn,0.6005,JEOL8500f-BrukerQuad,Sn,0.9991,0.5936,-1.1,0.5941,-1.1,0.5000,0.4933,-1.3
ZnS_5keV20nA_700s,S,0.3290,JEOL8500f-BrukerQuad,CuS,1.0214,0.3293,0.09,0.3224,-2.0,0.5000,0.4925,-1.5
ZnS_5keV20nA_700s,Zn,0.6710,JEOL8500f-BrukerQuad,Zn,1.0214,0.6921,3.1,0.6776,0.98,0.5000,0.5075,1.5
CdS_5kV20nA300s_NB,S,0.2219,JEOL8500f-BrukerQuad,CuS,1.0386,0.2236,0.77,0.2153,-3.0,0.5000,0.4902,-2.0
CdS_5kV20nA300s_NB,Cd,0.7781,JEOL8500f-BrukerQuad,Cd,1.0386,0.8150,4.7,0.7847,0.85,0.5000,0.5098,2.0
CuS_ChMxd_5keV20nA_300s,S,0.3354,JEOL8500f-BrukerQuad,ZnS,0.9740,0.3258,-2.9,0.3345,-0.3,0.5000,0.4990,-0.20
CuS_ChMxd_5keV20nA_300s,Cu,0.6646,JEOL8500f-BrukerQuad,Cu2O,0.9740,0.6482,-2.5,0.6655,0.14,0.5000,0.5010,0.20
FeS_sum_5keV20nA130kHz_300s,S,0.3647,JEOL8500f-BrukerQuad,CuS,1.0191,0.3698,1.4,0.3629,-0.49,0.5000,0.4980,-0.40
FeS_sum_5keV20nA130kHz_300s,Fe,0.6353,JEOL8500f-BrukerQuad,Fe,1.0191,0.6492,3.6,0.6371,0.28,0.5000,0.5020,0.40
FeS2_sum_5keV20nA130kHz_300s,S,0.5345,JEOL8500f-BrukerQuad,CuS,1.0234,0.5577,4.3,0.5449,1.9,0.6667,0.6759,1.4
FeS2_sum_5keV20nA130kHz_300s,Fe,0.4655,JEOL8500f-BrukerQuad,FeAl3,1.0234,0.4658,0.06,0.45516,-2.2,0.3333,0.3241,-2.8
Cu2O_HiTc_1_5kV20nA130kHz_77kHz_100s,O,0.1118,JEOL8500f-BrukerQuad,MgO,1.0303,0.1131,1.2,0.1097,-1.9,0.3333,0.3287,-1.4
Cu2O_HiTc_1_5kV20nA130kHz_77kHz_100s,Cu,0.8882,JEOL8500f-BrukerQuad,CuS,1.0303,0.9173,3.3,0.8903,0.24,0.6667,0.6713,0.69
CuO_GLR504_5kV30nA,O,0.2011,JEOL8500f-BrukerQuad,MgO,0.9793,0.1915,-4.8,0.1956,-2.7,0.5000,0.4913,-1.7
CuO_GLR504_5kV30nA,Cu,0.7989,JEOL8500f-BrukerQuad,Cu,0.9793,0.7878,-1.4,0.8044,0.69,0.5000,0.5087,1.7
Cr2O3_MMmin_5keV25nA,O,0.3158,JEOL8500f-BrukerQuad,O,0.9008,0.2888,-8.6,0.3205,1.5,0.6000,0.6053,0.88
Cr2O3_MMmin_5keV25nA,Cr,0.6642,JEOL8500f-BrukerQuad,Cr,0.9008,0.6121,-7.8,0.6795,2.3,0.4000,0.3947,-1.3
Fe3C_EU_5kV25nA,C,0.0669,JEOL8500f-BrukerQuad,C,1.059,0.0688,2.8,0.0649,-7.2,0.2500,0.2438,-2.5
Fe3C_EU_5kV25nA,Fe,0.9331,JEOL8500f-BrukerQuad,Fe,1.059,0.9916,6.3,0.9351,0.21,0.7500,0.7562,0.83
Fe2O3_5kV20nA_300s,O,0.3006,JEOL8500f-BrukerQuad,MgO,1.0675,0.3256,8.3,0.3050,1.5,0.6000,0.6050,0.83
Fe2O3_5kV20nA_300s,Fe,0.6994,JEOL8500f-BrukerQuad,Fe,1.0675,0.7419,6.1,0.6950,-0.63,0.4000,0.3950,-1.3
SiO2_StdC_5kV20nA130kHz_51kHz9DT_100s,O,0.5326,JEOL8500f-BrukerQuad,NiO,0.9431,0.5028,-5.6,0.5331,0.09,0.6667,0.6672,0.07
SiO2_StdC_5kV20nA130kHz_51kHz9DT_100s,Si,0.4674,JEOL8500f-BrukerQuad,Si,0.9431,0.4403,-5.8,0.4669,-0.11,0.3333,0.3328,-0.15
NiTi_5kV25nA,Ti,0.4492,JEOL8500f-BrukerQuad,Ti,1.192,0.5192,15.6,0.4356,-3.0,0.5000,0.4862,-2.8
NiTi_5kV25nA,Ni,0.5508,JEOL8500f-BrukerQuad,Ni,1.192,0.6729,22.2,0.5644,2.5,0.5000,0.5138,2.8
